PH,StartCount,VEmax,R0,VEest,CILow,CIUp,SS
0.15,16,0.5,0.5,53.53679698,32.21493966,71.6492222,230.5462736
0.15,16,0.5,0.61,53.33454314,28.31861958,74.48369565,148.2664659
0.15,16,0.5,0.7,55.78310696,25.26936027,72.40156974,119.4576181
0.15,16,0.5,0.8,55.74001366,26.61931818,75.36176887,81.85998137
0.15,16,0.6,0.37,56.37837838,34.71014493,74.82294935,301.4198317
0.15,16,0.6,0.5,60.35714286,25.40196078,74.41887227,152.7466254
0.15,16,0.6,0.61,61.43717728,26.53665689,80.40384615,111.3044907
0.15,16,0.6,0.7,65.24758454,34.26470588,82.29302326,76.14740083
0.15,16,0.6,0.8,66.9047619,39.77560852,80.68054518,62.18876528
0.15,16,0.7,0.37,63.71473354,31.83948864,83.80739796,204.6231206
0.15,16,0.7,0.5,69.44997511,44.13461538,86.21428571,126.0222505
0.15,16,0.7,0.61,71.01018676,45.98157051,86.02250489,78.55890551
0.15,16,0.7,0.7,73.84210526,42.40740741,88.96879756,62.37136379
0.15,16,0.7,0.8,75.68765629,45.06177326,88.17152104,45.7134713
0.15,16,0.8,0.37,72.94900222,31.83423913,89.47981366,173.7295114
0.15,16,0.8,0.5,75,42.65,90,97.11200775
0.15,16,0.8,0.61,81.27738456,53.06426332,92.1863845,63.30971217
0.15,16,0.8,0.7,80,48.75,93.58688187,48.55637654
0.15,16,0.8,0.8,79.06836784,51.07954545,93.63782051,39.10049898
0.15,16,0.9,0.37,79.58333333,60,93.06535686,137.5638191
0.15,16,0.9,0.5,82.68365817,46.25,95.65217391,73.38436166
0.15,16,0.9,0.61,84.3597263,61.79045093,95.39095745,54.14909404
0.15,16,0.9,0.7,85.85714286,60.02415459,96.45421541,42.18312449
0.15,16,0.9,0.8,87.03703704,71.06271777,96.64935065,32.28851874
0.15,21,0.5,0.37,55.73770492,24.45238095,73.1705119,381.4719858
0.15,21,0.5,0.5,58.80378657,26.24384236,77.71489229,196.682983
0.15,21,0.5,0.61,59.48557835,34.08232446,76.80858014,135.5719952
0.15,21,0.5,0.7,62.64398252,25.07575758,81.34615385,95.18792743
0.15,21,0.5,0.8,60.8290378,38.62745098,80.91170307,82.07397701
0.15,21,0.6,0.37,64.22222222,35.3125,82.65259197,285.2313783
0.15,21,0.6,0.5,67.51962323,39.12466398,87.82327586,153.4171629
0.15,21,0.6,0.61,71.30750605,44.30878553,87.78750444,97.59119014
0.15,21,0.6,0.7,71.62977867,45.64542484,90.33396521,71.09156818
0.15,21,0.6,0.8,71.91607685,40.84448161,86.10862069,56.67781813
0.15,21,0.7,0.37,75,44.44444444,92.6875,198.7111195
0.15,21,0.7,0.5,76.39318885,34.36535764,92.02088648,113.9339535
0.15,21,0.7,0.61,77.38636364,43.6910299,92.59615385,79.80053692
0.15,21,0.7,0.7,78.55089132,57.5,93.42859719,55.47282218
0.15,21,0.7,0.8,75.86206897,31.77747253,91.20014245,47.42812666
0.15,21,0.8,0.37,82.84313725,52.83333333,96.54719235,170.8871609
0.15,21,0.8,0.5,85.91269841,55.14285714,96.92362429,84.73289801
0.15,21,0.8,0.61,85,59.48333333,96.45933014,63.50327746
0.15,21,0.8,0.7,85.71428571,47.74264706,98.16345504,46.42336001
0.15,21,0.8,0.8,86.02325581,61.40740741,97.77777778,36.34143053
0.15,21,0.9,0.37,88.67521368,66.66666667,100,127.7938834
0.15,21,0.9,0.5,92.30769231,71.80555556,100,74.77969618
0.15,21,0.9,0.61,93.75,73.15860215,100,50.08925178
0.15,21,0.9,0.7,92.47641509,73.68421053,100,39.7051425
0.15,21,0.9,0.8,93.84469697,76.78846154,100,32.74303292
